"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 10 14:44:55 UTC 2024","Mon Jun 10 14:45:10 UTC 2024","15375","Selenium Tests","Regression","tests.ForgotPasswordTest","tests.ForgotPasswordTest","testForgotPasswordWithMismatchedPasswords","testForgotPasswordWithMismatchedPasswords",""
"broken","Mon Jun 10 14:50:45 UTC 2024","Mon Jun 10 14:51:04 UTC 2024","18658","Selenium Tests","Regression","tests.SettingsTests","tests.SettingsTests","testChangePasswordFromSettings","testChangePasswordFromSettings",""
"passed","Mon Jun 10 14:49:34 UTC 2024","Mon Jun 10 14:49:38 UTC 2024","3925","Selenium Tests","Regression","tests.LoginTests","tests.LoginTests","testValidEmailInvalidPassword","testValidEmailInvalidPassword",""
"passed","Mon Jun 10 14:56:15 UTC 2024","Mon Jun 10 14:56:18 UTC 2024","3489","Selenium Tests","Regression","tests.ContactUsTest","tests.ContactUsTest","testContactUsFormFunctionality","testContactUsFormFunctionality",""
"passed","Mon Jun 10 14:49:43 UTC 2024","Mon Jun 10 14:49:47 UTC 2024","3784","Selenium Tests","Regression","tests.LoginTests","tests.LoginTests","testWithEmptyPassword","testWithEmptyPassword",""
"passed","Mon Jun 10 14:43:38 UTC 2024","Mon Jun 10 14:43:42 UTC 2024","4071","Selenium Tests","Regression","tests.RegistrationTest","tests.RegistrationTest","testRegisterWithWeakPassword","testRegisterWithWeakPassword",""
"broken","Mon Jun 10 14:54:38 UTC 2024","Mon Jun 10 14:54:57 UTC 2024","18794","Selenium Tests","Regression","tests.SettingsTests","tests.SettingsTests","testDeleteAccountFromSettings","testDeleteAccountFromSettings",""
"passed","Mon Jun 10 14:49:28 UTC 2024","Mon Jun 10 14:49:33 UTC 2024","4962","Selenium Tests","Regression","tests.LoginTests","tests.LoginTests","testRememberMeFunctionality","testRememberMeFunctionality",""
"broken","Mon Jun 10 14:53:21 UTC 2024","Mon Jun 10 14:53:39 UTC 2024","18874","Selenium Tests","Regression","tests.SettingsTests","tests.SettingsTests","testChangePasswordWithMismatchedPasswords","testChangePasswordWithMismatchedPasswords",""
"passed","Mon Jun 10 14:43:14 UTC 2024","Mon Jun 10 14:43:18 UTC 2024","3891","Selenium Tests","Regression","tests.RegistrationTest","tests.RegistrationTest","testRegisterWithMismatchedPasswords","testRegisterWithMismatchedPasswords",""
"passed","Mon Jun 10 14:49:39 UTC 2024","Mon Jun 10 14:49:42 UTC 2024","3812","Selenium Tests","Regression","tests.LoginTests","tests.LoginTests","testWithEmptyEmail","testWithEmptyEmail",""
"passed","Mon Jun 10 14:45:26 UTC 2024","Mon Jun 10 14:45:29 UTC 2024","2992","Selenium Tests","Regression","tests.ForgotPasswordTest","tests.ForgotPasswordTest","testNoVerifiedUserErrorMessage","testNoVerifiedUserErrorMessage",""
"passed","Mon Jun 10 14:56:19 UTC 2024","Mon Jun 10 14:56:22 UTC 2024","3266","Selenium Tests","Regression","tests.ContactUsTest","tests.ContactUsTest","testContactUsWithEmptyFirstName","testContactUsWithEmptyFirstName",""
"passed","Mon Jun 10 14:43:43 UTC 2024","Mon Jun 10 14:43:48 UTC 2024","4756","Selenium Tests","Regression","tests.RegistrationTest","tests.RegistrationTest","testRegisterWithWrongEmailFormat","testRegisterWithWrongEmailFormat",""
"broken","Mon Jun 10 14:52:03 UTC 2024","Mon Jun 10 14:52:22 UTC 2024","18856","Selenium Tests","Regression","tests.SettingsTests","tests.SettingsTests","testChangePasswordFromSettingsWithWeakPassword","testChangePasswordFromSettingsWithWeakPassword",""
"passed","Mon Jun 10 14:43:48 UTC 2024","Mon Jun 10 14:44:05 UTC 2024","16898","Selenium Tests","Regression","tests.RegistrationTest","tests.RegistrationTest","testRegistration","testRegistration",""
"broken","Mon Jun 10 14:55:55 UTC 2024","Mon Jun 10 14:56:14 UTC 2024","18956","Selenium Tests","Regression","tests.SettingsTests","tests.SettingsTests","testDeleteAccountFromSettingsWithWrongPass","testDeleteAccountFromSettingsWithWrongPass",""
"passed","Mon Jun 10 14:44:52 UTC 2024","Mon Jun 10 14:44:54 UTC 2024","1556","Selenium Tests","Regression","tests.ForgotPasswordTest","tests.ForgotPasswordTest","testForgotPasswordWithInvalidEmailFormat","testForgotPasswordWithInvalidEmailFormat",""
"passed","Mon Jun 10 14:44:35 UTC 2024","Mon Jun 10 14:44:52 UTC 2024","16800","Selenium Tests","Regression","tests.ForgotPasswordTest","tests.ForgotPasswordTest","testForgotPassword","testForgotPassword",""
"passed","Mon Jun 10 14:43:07 UTC 2024","Mon Jun 10 14:43:09 UTC 2024","2438","Selenium Tests","Regression","tests.RegistrationTest","tests.RegistrationTest","testRegisterWithInvalidEmail","testRegisterWithInvalidEmail",""
"passed","Mon Jun 10 14:46:47 UTC 2024","Mon Jun 10 14:46:51 UTC 2024","3901","Selenium Tests","Regression","tests.LoginTests","tests.LoginTests","testInvalidEmailValidPassword","testInvalidEmailValidPassword",""
"passed","Mon Jun 10 14:43:19 UTC 2024","Mon Jun 10 14:43:38 UTC 2024","18641","Selenium Tests","Regression","tests.RegistrationTest","tests.RegistrationTest","testRegisterWithUpdatedEmail","testRegisterWithUpdatedEmail",""
"passed","Mon Jun 10 14:42:37 UTC 2024","Mon Jun 10 14:43:02 UTC 2024","24181","Selenium Tests","Regression","tests.RegistrationTest","tests.RegistrationTest","testRegisterWithExistingEmail","testRegisterWithExistingEmail",""
"broken","Mon Jun 10 14:49:09 UTC 2024","Mon Jun 10 14:49:28 UTC 2024","18931","Selenium Tests","Regression","tests.LoginTests","tests.LoginTests","testLogoutFunctionality","testLogoutFunctionality",""
"passed","Mon Jun 10 14:43:02 UTC 2024","Mon Jun 10 14:43:06 UTC 2024","3798","Selenium Tests","Regression","tests.RegistrationTest","tests.RegistrationTest","testRegisterWithInvalidBirthDate","testRegisterWithInvalidBirthDate",""
"passed","Mon Jun 10 14:56:23 UTC 2024","Mon Jun 10 14:56:26 UTC 2024","2897","Selenium Tests","Regression","tests.ContactUsTest","tests.ContactUsTest","testContactUsWithEmptyLastName","testContactUsWithEmptyLastName",""
"broken","Mon Jun 10 14:46:28 UTC 2024","Mon Jun 10 14:46:46 UTC 2024","18693","Selenium Tests","Regression","tests.LoginTests","tests.LoginTests","testCloseBtnFunctionalityInLogoutProcess","testCloseBtnFunctionalityInLogoutProcess",""
"passed","Mon Jun 10 14:45:11 UTC 2024","Mon Jun 10 14:45:25 UTC 2024","14767","Selenium Tests","Regression","tests.ForgotPasswordTest","tests.ForgotPasswordTest","testForgotPasswordWithWeakPassword","testForgotPasswordWithWeakPassword",""
"broken","Mon Jun 10 14:47:50 UTC 2024","Mon Jun 10 14:48:09 UTC 2024","18992","Selenium Tests","Regression","tests.LoginTests","tests.LoginTests","testLoginWithValidCredentials","testLoginWithValidCredentials",""
